customer_id,days_as_customer,total_transactions,total_spent,days_since_last_purchase,purchase_count,transactions_per_month,avg_spend_per_transaction,lifetime_value_per_month,engagement_tier,spend_quartile,recency_score,frequency_score,monetary_score,rfm_score
1001,1156,170,963.12,98,170,4.411764705882353,5.665411764705882,24.99446366782007,medium,Q1,4,5,1,10
1002,1489,70,4189.32,267,70,1.4103425117528543,59.847428571428566,84.4053727333781,low,Q2,2,2,2,6
1003,890,15,12102.71,105,15,0.5056179775280899,806.8473333333333,407.95651685393256,low,Q4,4,1,5,10
1004,1324,54,11236.48,323,54,1.2235649546827794,208.08296296296297,254.60302114803625,low,Q4,1,2,4,7
1005,1160,188,2808.59,123,188,4.862068965517242,14.939308510638298,72.63594827586208,medium,Q1,4,5,1,10
1006,1125,101,3179.77,29,101,2.6933333333333334,31.482871287128713,84.79386666666666,medium,Q1,5,3,2,10
1007,1754,8,5588.56,137,8,0.13683010262257697,698.57,95.5854047890536,low,Q2,4,1,2,7
1008,1074,53,7293.62,195,53,1.4804469273743017,137.6154716981132,203.73240223463688,low,Q3,3,2,3,8
1009,1668,60,9292.91,226,60,1.079136690647482,154.88183333333333,167.1386690647482,low,Q3,2,2,4,8
1010,151,108,5565.26,332,108,21.456953642384107,51.53018518518519,1105.6807947019868,high,Q2,1,3,2,6
1011,496,5,6964.89,170,5,0.30241935483870963,1392.978,421.2635080645161,low,Q2,3,1,3,7
1012,1268,103,11224.69,9,103,2.4369085173501577,108.97757281553399,265.5683753943218,medium,Q4,5,3,4,12
1013,360,196,598.41,40,196,16.333333333333332,3.053112244897959,49.8675,high,Q1,5,5,1,11
1014,1512,6,3823.93,25,6,0.11904761904761905,637.3216666666666,75.87162698412698,low,Q2,5,1,2,8
1015,117,109,10714.58,261,109,27.94871794871795,98.29889908256881,2747.3282051282054,high,Q3,2,3,4,9
1016,1426,116,13433.34,226,116,2.4403927068723705,115.80465517241379,282.60883590462834,medium,Q4,2,3,5,10
1017,1153,94,7699.58,124,94,2.445793581960104,81.9104255319149,200.3359930615785,medium,Q3,4,3,3,10
1018,901,47,8005.1,38,47,1.564927857935627,170.32127659574468,266.5405105438402,low,Q3,5,2,3,10
1019,1717,99,1652.22,328,99,1.7297612114152592,16.689090909090908,28.86814210832848,low,Q1,1,3,1,5
1020,160,55,6738.81,251,55,10.3125,122.52381818181819,1263.5268750000002,high,Q2,2,2,3,7
1021,1715,168,8012.63,176,168,2.938775510204082,47.69422619047619,140.16262390670553,medium,Q3,3,5,3,11
1022,1362,52,3674.93,90,52,1.145374449339207,70.67173076923076,80.94559471365639,low,Q2,4,2,2,8
1023,799,144,4075.19,37,144,5.406758448060075,28.299930555555555,153.01088861076346,medium,Q2,5,4,2,11
1024,373,13,5690.4,316,13,1.0455764075067024,437.7230769230769,457.67292225201066,low,Q2,1,1,2,4
1025,1545,114,350.06,176,114,2.2135922330097086,3.070701754385965,6.797281553398058,medium,Q1,3,3,1,7
1026,1467,124,4865.08,284,124,2.5357873210633946,39.23451612903226,99.49038854805725,medium,Q2,2,4,2,8
