customer_id,age,revenue,transactions_count,signup_date,customer_segment,country,flag_churn,revenue_zscore,is_outlier_iqr,revenue_capped,age_capped,is_outlier,is_outlier_binary
1001,66,965.98,9,2023-01-10,B2B,UK,0,0.05894763478122057,False,965.98,66,False,0
1002,75,386.46,21,2026-03-31,B2C,UK,0,0.07023219432709032,False,386.46,75,False,0
1003,19,505.52,104,2022-06-18,B2B,Japan,1,0.06791382799024043,False,505.52,19,False,0
1004,75,122.17,65,2023-08-21,Enterprise,UK,0,0.07537851583864802,False,122.17,75,False,0
1005,77,1016.54,191,2020-08-17,B2B,India,0,0.05796311771427004,False,1016.54,77,False,0
1006,70,933.74,73,2022-07-27,B2C,Canada,0,0.059575420189418464,False,933.74,70,False,0
1007,58,207.38,155,2020-05-11,Enterprise,India,0,0.07371928523590168,False,207.38,58,False,0
1008,55,954.68,36,2023-07-16,Enterprise,Japan,0,0.05916767123012369,False,954.68,55,False,0
1009,40,578.78,187,2024-07-01,Enterprise,Canada,0,0.06648729080027214,False,578.78,40,False,0
1010,29,198.35,95,2023-01-01,SMB,UK,0,0.073895119672503,False,198.35,29,False,0
1011,68,383.37,174,2020-09-28,SMB,Singapore,0,0.07029236358612667,False,383.37,68,False,0
1012,38,221.19,30,2022-05-14,B2B,Canada,1,0.07345037343418911,False,221.19,38,False,0
1013,46,542.53,17,2026-05-12,B2B,India,1,0.06719315993945246,False,542.53,46,False,0
1014,53,774.42,105,2023-07-12,Enterprise,France,0,0.0626777393964311,False,774.42,53,False,0
1015,60,287.14,52,2022-05-20,B2B,Canada,1,0.07216617840718383,False,287.14,60,False,0
1016,150,134.95,114,2025-08-06,Enterprise,Australia,0,0.07512966045661425,False,134.95,100,False,0
1017,69,1401.88,175,2024-06-08,SMB,Germany,0,0.050459680084152955,False,1401.88,69,False,0
1018,44,250.89,92,2025-02-22,Enterprise,India,0,0.07287204754636414,False,250.89,44,False,0
1019,23,1290.9,88,2021-08-08,B2C,France,1,0.05262071062391108,False,1290.9,23,False,0
1020,37,635.03,37,2022-12-20,Enterprise,Canada,0,0.06539197661878544,False,635.03,37,False,0
1021,71,1184.54,99,2021-07-25,B2C,Germany,0,0.05469177935889642,False,1184.54,71,False,0
1022,65,535.29,92,2022-10-07,SMB,Australia,0,0.06733413904476739,False,535.29,65,False,0
1023,60,2548.17,142,2026-04-18,Enterprise,USA,0,0.028138832206883777,False,2548.17,60,False,0
1024,73,7093.39,36,2026-01-16,SMB,USA,1,0.060366837552707116,True,2779.1850000000004,73,True,1
1025,58,1088.22,163,2022-12-12,B2C,Canada,0,0.05656734668264397,False,1088.22,58,False,0
1026,39,97.68,58,2024-10-20,Enterprise,India,0,0.0758553912929522,False,97.68,39,False,0
1027,40,1756.22,178,2024-06-23,B2B,Canada,0,0.04355988226961078,False,1756.22,40,False,0
1028,51,361.98,134,2024-01-22,SMB,USA,0,0.07070887505887334,False,361.98,51,False,0
1029,21,44.01,190,2022-06-17,B2C,Japan,0,0.07690046706398136,False,44.01,21,False,0
1030,49,518.04,62,2021-07-20,SMB,Canada,0,0.06767003539375663,False,518.04,49,False,0
1031,33,2396.63,38,2025-09-18,Enterprise,Japan,0,0.03108965729243924,False,2396.63,33,False,0
1032,21,1815.87,115,2025-07-14,B2C,Japan,0,0.042398362430931986,False,1815.87,21,False,0
1033,45,464.26,9,2021-01-07,Enterprise,UAE,0,0.0687172531125185,False,464.26,45,False,0
1034,45,4170.61,13,2020-07-11,Enterprise,USA,1,0.0034537285150946107,True,2779.1850000000004,45,True,1
1035,58,296.91,80,2021-03-25,Enterprise,Australia,0,0.07197593450401715,False,296.91,58,False,0
1036,39,4776.92,111,2021-09-18,B2B,France,0,0.01525994969513377,True,2779.1850000000004,39,True,1
1037,25,396.91,113,2021-10-17,Enterprise,Germany,1,0.07002870929248524,False,396.91,25,False,0
1038,43,454.83,23,2024-09-25,B2B,Australia,0,0.06890087644996595,False,454.83,43,False,0
