customer_id,age,revenue,transactions_count,signup_date,customer_segment,country,flag_churn,revenue_normalized,revenue_zscore,revenue_rank
1001,66,965.98,9,2023-01-10,B2B,UK,0,0.001964015984015984,-0.05894763478122057,1756
1002,75,386.46,21,2026-03-31,B2C,UK,0,0.0013850749250749251,-0.07023219432709032,3540
1003,19,505.52,104,2022-06-18,B2B,Japan,1,0.001504015984015984,-0.06791382799024043,3036
1004,75,122.17,65,2023-08-21,Enterprise,UK,0,0.001121048951048951,-0.07537851583864802,4780
1005,77,1016.54,191,2020-08-17,B2B,India,0,0.0020145254745254746,-0.05796311771427004,1662
1006,70,933.74,73,2022-07-27,B2C,Canada,0,0.0019318081918081919,-0.059575420189418464,1814
1007,58,207.38,155,2020-05-11,Enterprise,India,0,0.0012061738261738262,-0.07371928523590168,4378
1008,55,954.68,36,2023-07-16,Enterprise,Japan,0,0.0019527272727272726,-0.05916767123012369,1777
1009,40,578.78,187,2024-07-01,Enterprise,Canada,0,0.0015772027972027973,-0.06648729080027214,2750
1010,29,198.35,95,2023-01-01,SMB,UK,0,0.0011971528471528472,-0.073895119672503,4440
1011,68,383.37,174,2020-09-28,SMB,Singapore,0,0.001381988011988012,-0.07029236358612667,3552
1012,38,221.19,30,2022-05-14,B2B,Canada,1,0.00121997002997003,-0.07345037343418911,4302
1013,46,542.53,17,2026-05-12,B2B,India,1,0.001540989010989011,-0.06719315993945246,2895
1014,53,774.42,105,2023-07-12,Enterprise,France,0,0.0017726473526473528,-0.0626777393964311,2198
1015,60,287.14,52,2022-05-20,B2B,Canada,1,0.0012858541458541457,-0.07216617840718383,3967
1016,150,134.95,114,2025-08-06,Enterprise,Australia,0,0.0011338161838161838,-0.07512966045661425,4731
1017,69,1401.88,175,2024-06-08,SMB,Germany,0,0.0023994805194805196,-0.050459680084152955,1158
1018,44,250.89,92,2025-02-22,Enterprise,India,0,0.0012496403596403596,-0.07287204754636414,4147
1019,23,1290.9,88,2021-08-08,B2C,France,1,0.0022886113886113886,-0.05262071062391108,1279
1020,37,635.03,37,2022-12-20,Enterprise,Canada,0,0.0016333966033966034,-0.06539197661878544,2581
1021,71,1184.54,99,2021-07-25,B2C,Germany,0,0.002182357642357642,-0.05469177935889642,1406
1022,65,535.29,92,2022-10-07,SMB,Australia,0,0.0015337562437562438,-0.06733413904476739,2918
1023,60,2548.17,142,2026-04-18,Enterprise,USA,0,0.0035446253746253746,-0.028138832206883777,484
1024,73,7093.39,36,2026-01-16,SMB,USA,1,0.008085304695304696,0.060366837552707116,57
1025,58,1088.22,163,2022-12-12,B2C,Canada,0,0.0020861338661338664,-0.05656734668264397,1540
1026,39,97.68,58,2024-10-20,Enterprise,India,0,0.0010965834165834166,-0.0758553912929522,4859
1027,40,1756.22,178,2024-06-23,B2B,Canada,0,0.0027534665334665335,-0.04355988226961078,854
1028,51,361.98,134,2024-01-22,SMB,USA,0,0.0013606193806193806,-0.07070887505887334,3644
1029,21,44.01,190,2022-06-17,B2C,Japan,0,0.0010429670329670329,-0.07690046706398136,4969
1030,49,518.04,62,2021-07-20,SMB,Canada,0,0.0015165234765234766,-0.06767003539375663,2985
1031,33,2396.63,38,2025-09-18,Enterprise,Japan,0,0.0033932367632367633,-0.03108965729243924,531
1032,21,1815.87,115,2025-07-14,B2C,Japan,0,0.002813056943056943,-0.042398362430931986,811
1033,45,464.26,9,2021-01-07,Enterprise,UAE,0,0.0014627972027972027,-0.0687172531125185,3198
1034,45,4170.61,13,2020-07-11,Enterprise,USA,1,0.005165444555444555,0.0034537285150946107,182
1035,58,296.91,80,2021-03-25,Enterprise,Australia,0,0.0012956143856143857,-0.07197593450401715,3937
1036,39,4776.92,111,2021-09-18,B2B,France,0,0.005771148851148851,0.01525994969513377,142
1037,25,396.91,113,2021-10-17,Enterprise,Germany,1,0.0013955144855144856,-0.07002870929248524,3500
1038,43,454.83,23,2024-09-25,B2B,Australia,0,0.0014533766233766233,-0.06890087644996595,3247
1039,200,100.61,33,2020-09-17,Enterprise,Germany,0,0.0010995104895104894,-0.0757983375942543,4851
1040,47,462.09,54,2024-04-25,SMB,USA,0,0.0014606293706293705,-0.06875950789960873,3210
1041,67,1043.7,45,2024-04-12,SMB,France,0,0.002041658341658342,-0.05743425134681797,1604
1042,70,547.16,48,2025-04-01,SMB,Canada,0,0.0015456143856143855,-0.06710300341215854,2877
1043,26,135.22,85,2025-12-07,Enterprise,Japan,0,0.0011340859140859141,-0.07512440294854311,4729
1044,43,842.71,68,2022-10-26,B2B,Singapore,0,0.0018408691308691308,-0.06134797929947597,2005
1045,59,681.6,61,2026-03-16,Enterprise,Germany,1,0.0016799200799200798,-0.06448515383777503,2455
1046,76,718.33,106,2020-02-17,SMB,Canada,0,0.0017166133866133866,-0.06376993801757937,2346
1047,71,1415.44,52,2021-04-14,SMB,Singapore,0,0.002413026973026973,-0.05019563634546923,1144
1048,28,673.4,174,2026-01-08,B2C,France,0,0.0016717282717282718,-0.06464482630512065,2479
1049,74,790.72,172,2022-12-28,B2C,UAE,0,0.0017889310689310689,-0.06236034168695141,2154
1050,42,2979.1,177,2023-10-25,B2B,USA,0,0.003975124875124875,-0.0197476546028293,364
1051,51,349.61,165,2021-04-01,B2B,Germany,0,0.0013482617382617383,-0.07094974681753984,3702
1052,44,1629.55,41,2023-04-17,B2C,Germany,0,0.002626923076923077,-0.04602643244505825,955
1053,68,764.2,150,2024-11-15,B2B,Canada,1,0.0017624375624375624,-0.06287674581304967,2215
1054,27,375.43,42,2021-10-09,SMB,India,0,0.0013740559440559442,-0.0704469732679223,3578
1055,32,2728.27,58,2025-02-01,SMB,France,0,0.0037245454545454543,-0.0246318796009148,424
1056,67,340.8,52,2020-01-14,B2B,UK,0,0.0013394605394605394,-0.0711212973586758,3740
1057,22,1236.32,53,2022-12-14,SMB,UAE,0,0.002234085914085914,-0.05368350614436519,1348
1058,29,229.84,49,2025-08-12,B2C,Germany,1,0.0012286113886113886,-0.0732819384533916,4267
1059,25,198.96,141,2022-01-01,SMB,France,0,0.0011977622377622379,-0.07388324159871267,4433
1060,23,1720.33,190,2025-09-10,B2C,Japan,1,0.0027176123876123874,-0.04425874139802958,882
1061,41,79.0,36,2021-03-11,B2C,India,0,0.001077922077922078,-0.07621913296246635,4908
1062,18,170.85,180,2023-05-07,B2B,Singapore,0,0.0011696803196803195,-0.07443060660567428,4554
1063,42,2789.04,41,2025-09-10,B2C,India,0,0.003785254745254745,-0.023448550839866855,404
1064,62,6405.7,165,2022-03-25,SMB,USA,0,0.007398301698301698,0.046975964495523284,76
1065,64,2356.32,147,2021-09-18,Enterprise,USA,0,0.0033529670329670333,-0.03187458377520775,542
1066,28,210.16,122,2024-03-11,B2C,Australia,0,0.001208951048951049,-0.0736651523750211,4366
1067,79,1122.93,186,2021-10-23,B2C,Australia,0,0.002120809190809191,-0.05589146481172124,1494
