order_date,revenue,order_count
2024-01-01,53973.713224089865,236
2024-01-02,48893.885590630525,417
2024-01-03,55181.50830480554,264
2024-01-04,62184.23885126421,324
2024-01-05,48126.77300221331,406
2024-01-06,48126.904344406554,333
2024-01-07,62633.70252405913,271
2024-01-08,56139.47783322327,251
2024-01-09,46244.204912520385,414
2024-01-10,54340.48034868772,473
2024-01-11,46292.6584575003,259
2024-01-12,46274.16197143795,195
2024-01-13,51935.698172528275,332
2024-01-14,34693.758042737616,279
2024-01-15,36200.65733989574,212
2024-01-16,45501.69976607222,417
2024-01-17,41897.35103732461,151
2024-01-18,52513.97866076219,367
2024-01-19,42735.807395830314,394
2024-01-20,38701.57038931767,485
2024-01-21,61725.19015137243,486
2024-01-22,48193.789596107716,212
2024-01-23,50540.22563750339,200
2024-01-24,38602.01451029234,212
2024-01-25,45644.93820379854,180
2024-01-26,50887.38071767893,286
2024-01-27,40792.051380621575,212
2024-01-28,53005.58414676537,101
2024-01-29,45194.89048064956,229
2024-01-30,47666.450001653786,319
2024-01-31,45186.34710216482,153
2024-02-01,64818.2254760715,442
2024-02-02,49892.02220209653,323
2024-02-03,41538.3125683528,324
2024-02-04,56580.35929682551,484
2024-02-05,40233.25080023182,225
2024-02-06,51670.908760038044,229
2024-02-07,34322.63900896179,152
2024-02-08,39374.51160881256,271
2024-02-09,51574.88988695299,317
2024-02-10,55907.73263996329,259
2024-02-11,51370.946249519766,297
2024-02-12,49074.813740894075,346
2024-02-13,47591.17043528569,423
2024-02-14,38171.82407706058,302
2024-02-15,44241.24633284233,283
2024-02-16,46314.8898323217,222
2024-02-17,58456.977809751326,354
2024-02-18,52748.94631654769,393
2024-02-19,35895.678757098125,379
2024-02-20,52592.67175515836,424
2024-02-21,46919.34175666947,471
2024-02-22,44584.62399755233,197
2024-02-23,54893.41031072694,297
2024-02-24,58247.99617996761,494
2024-02-25,57450.24095292959,339
2024-02-26,43286.259814218894,243
2024-02-27,47526.300993190285,196
2024-02-28,52650.10745122851,300
2024-02-29,57804.36101697887,223
2024-03-01,46166.60609723768,286
2024-03-02,48514.72818668946,425
2024-03-03,41149.32020795177,448
2024-03-04,40430.347007354634,358
2024-03-05,56500.206579153586,247
2024-03-06,60849.92022856658,351
2024-03-07,49423.919027357326,445
2024-03-08,58028.263183136194,246
2024-03-09,52893.08820038107,247
2024-03-10,44839.041963159005,451
2024-03-11,52891.16484406731,298
2024-03-12,62304.292531727755,407
2024-03-13,49713.39168712039,227
2024-03-14,62517.149246512054,138
2024-03-15,29042.039167282044,437
2024-03-16,56575.22003500179,459
2024-03-17,50696.37654590537,228
2024-03-18,47607.94119627306,366
2024-03-19,50734.08621228402,250
2024-03-20,34099.44868319286,397
2024-03-21,48242.6248972999,198
2024-03-22,52856.900572093975,362
2024-03-23,61823.15235793213,351
2024-03-24,45853.83825381082,243
2024-03-25,43532.0511768545,445
2024-03-26,45985.94365132371,211
2024-03-27,57323.21694161659,159
2024-03-28,52630.008877277476,468
2024-03-29,45761.91836986369,101
2024-03-30,54106.139464906846,484
2024-03-31,50776.620394784324,403
2024-04-01,57749.15992426311,353
2024-04-02,44383.57524898118,239
2024-04-03,47378.70282721786,136
2024-04-04,46863.13477494274,259
2024-04-05,38291.88041494305,108
2024-04-06,52368.96221651661,332
2024-04-07,52088.442177439116,198
2024-04-08,50040.907653139686,246
2024-04-09,48123.30293299883,403
