order_id,customer_id,order_date,order_amount,order_status,product_id,quantity
50001,24539,2023-06-22,340.99,Delivered,45,12
50002,24970,2026-06-04,203.9,Pending,132,3
50003,20221,2020-03-27,205.59,Delivered,22,18
50004,20592,2020-08-07,231.48,Cancelled,373,1
50005,100587,2025-09-18,172.07,Returned,18,6
50006,23850,2021-07-21,131.62,Returned,355,11
50007,21374,2020-03-08,283.57,Delivered,95,1
50008,20773,2024-09-25,259.59,Delivered,471,18
50009,23668,2025-02-02,350.65,Delivered,145,10
50010,21284,2022-02-04,133.64,Delivered,52,10
50011,22462,2025-03-12,407.6,Delivered,24,1
50012,23283,2020-10-30,3.83,Shipped,160,18
50013,24901,2024-10-12,103.55,Delivered,377,6
50014,21537,2020-09-26,134.37,Shipped,373,6
50015,20119,2025-11-08,274.68,Delivered,178,12
50016,22384,2021-03-11,6.11,Delivered,458,11
50017,99621,2020-07-04,51.2,Delivered,35,4
50018,103177,2021-12-14,90.43,Delivered,142,16
50019,103678,2024-03-31,408.39,Cancelled,447,4
50020,22775,2023-03-07,47.56,Delivered,198,18
50021,24660,2022-10-06,84.61,Shipped,222,6
50022,23046,2022-03-12,624.11,Cancelled,261,18
50023,23135,2025-11-19,1162.29,Delivered,207,9
50024,21237,2021-05-31,651.86,Shipped,188,2
50025,22024,2020-11-24,69.81,Delivered,291,19
50026,23753,2026-05-12,97.73,Cancelled,242,1
50027,24084,2024-01-11,66.23,Delivered,369,4
50028,22754,2024-09-17,399.98,Delivered,349,18
50029,24732,2022-08-04,163.72,Shipped,397,17
50030,24884,2025-09-05,78.8,Cancelled,163,14
50031,20476,2021-12-13,3.77,Shipped,454,11
50032,20934,2022-02-14,215.74,Cancelled,460,5
50033,22852,2021-04-30,108.89,Pending,55,1
50034,20105,2024-02-09,100.07,Delivered,228,8
50035,20667,2023-02-24,158.37,Delivered,62,12
50036,22999,2021-07-13,491.66,Delivered,177,1
50037,99531,2020-07-03,106.92,Cancelled,184,17
50038,23308,2024-02-24,179.58,Pending,132,15
50039,102261,2021-12-01,179.03,Shipped,165,9
50040,20337,2024-04-02,14.44,Delivered,117,16
50041,103683,2022-06-11,166.67,Pending,263,18
50042,102448,2024-05-21,97.51,Delivered,180,17
50043,23329,2025-06-26,269.66,Delivered,13,3
50044,20305,2026-02-07,134.92,Delivered,477,3
50045,23581,2022-12-24,81.62,Shipped,317,15
50046,23385,2021-05-19,492.41,Returned,465,9
50047,23830,2023-01-10,1086.71,Delivered,169,4
50048,24763,2024-07-10,1185.02,Delivered,1,3
50049,101813,2025-06-28,357.74,Cancelled,83,4
50050,22781,2020-02-04,343.81,Delivered,247,8
50051,23039,2024-11-12,266.82,Delivered,321,7
50052,99159,2020-02-05,56.21,Delivered,112,18
50053,20632,2025-03-19,67.62,Delivered,451,13
50054,24411,2023-08-27,38.49,Cancelled,460,9
50055,102569,2023-01-14,125.64,Delivered,272,11
50056,99731,2026-02-03,97.01,Shipped,353,10
50057,21002,2023-03-23,264.64,Shipped,187,3
50058,23383,2024-12-14,119.72,Pending,96,10
50059,103860,2021-03-11,179.64,Returned,257,14
50060,22046,2025-05-23,133.65,Delivered,382,14
50061,23087,2025-11-11,94.1,Delivered,268,11
50062,102956,2026-05-31,34.76,Shipped,227,5
50063,102939,2025-10-05,15.04,Delivered,147,6
50064,21739,2021-06-09,644.54,Shipped,62,18
50065,23066,2021-11-22,983.9,Delivered,234,12
50066,21626,2023-04-10,376.8,Delivered,196,16
50067,21265,2023-11-21,63.21,Delivered,67,5
50068,21661,2024-05-21,247.89,Delivered,354,18
50069,20377,2022-06-05,14.85,Pending,62,2
50070,23262,2024-03-04,2622.7,Shipped,445,2
50071,20954,2026-02-13,38.62,Delivered,183,17
50072,23611,2020-01-19,74.3,Shipped,22,16
50073,24847,2022-04-29,4.08,Delivered,43,6
50074,23859,2020-06-28,42.63,Delivered,406,8
50075,21729,2025-12-13,125.07,Delivered,288,14
50076,22037,2024-10-23,397.24,Returned,116,15
50077,23220,2021-09-28,91.99,Delivered,115,16
50078,20765,2023-06-24,221.4,Shipped,251,2
50079,23256,2023-12-30,245.56,Delivered,239,17
50080,23480,2021-08-27,85.54,Cancelled,372,8
50081,24995,2022-11-13,1223.9,Delivered,282,2
50082,21054,2021-05-03,392.0,Delivered,210,8
50083,22209,2022-06-13,392.2,Delivered,334,6
50084,22545,2021-12-03,68.76,Returned,223,12
50085,100985,2024-08-03,1678.35,Pending,238,14
50086,99561,2021-08-03,305.97,Delivered,401,16
50087,24605,2026-05-27,231.7,Delivered,78,10
50088,22354,2026-03-30,36.79,Returned,329,13
50089,23677,2024-01-16,81.88,Delivered,315,2
50090,103025,2024-10-23,273.96,Delivered,487,12
50091,99464,2025-09-04,339.63,Delivered,419,2
50092,21080,2021-06-22,1247.29,Shipped,397,11
