customer_id,age,revenue,transactions_count,signup_date,customer_segment,country,flag_churn
1001,66,965.98,9,2023-01-10,B2B,UK,0
1002,75,386.46,21,2026-03-31,B2C,UK,0
1003,19,505.52,104,2022-06-18,B2B,Japan,1
1004,75,122.17,65,2023-08-21,Enterprise,UK,0
1005,77,1016.54,191,2020-08-17,B2B,India,0
1006,70,933.74,73,2022-07-27,B2C,Canada,0
1007,58,207.38,155,2020-05-11,Enterprise,India,0
1008,55,954.68,36,2023-07-16,Enterprise,Japan,0
1009,40,578.78,187,2024-07-01,Enterprise,Canada,0
1010,29,198.35,95,2023-01-01,SMB,UK,0
1011,68,383.37,174,2020-09-28,SMB,Singapore,0
1012,38,221.19,30,2022-05-14,B2B,Canada,1
1013,46,542.53,17,2026-05-12,B2B,India,1
1014,53,774.42,105,2023-07-12,Enterprise,France,0
1015,60,287.14,52,2022-05-20,B2B,Canada,1
1016,150,134.95,114,2025-08-06,Enterprise,Australia,0
1017,69,1401.88,175,2024-06-08,SMB,Germany,0
1018,44,250.89,92,2025-02-22,Enterprise,India,0
1019,23,1290.9,88,2021-08-08,B2C,France,1
1020,37,635.03,37,2022-12-20,Enterprise,Canada,0
1021,71,1184.54,99,2021-07-25,B2C,Germany,0
1022,65,535.29,92,2022-10-07,SMB,Australia,0
1023,60,2548.17,142,2026-04-18,Enterprise,USA,0
1024,73,7093.39,36,2026-01-16,SMB,USA,1
1025,58,1088.22,163,2022-12-12,B2C,Canada,0
1026,39,97.68,58,2024-10-20,Enterprise,India,0
1027,40,1756.22,178,2024-06-23,B2B,Canada,0
1028,51,361.98,134,2024-01-22,SMB,USA,0
1029,21,44.01,190,2022-06-17,B2C,Japan,0
1030,49,518.04,62,2021-07-20,SMB,Canada,0
1031,33,2396.63,38,2025-09-18,Enterprise,Japan,0
1032,21,1815.87,115,2025-07-14,B2C,Japan,0
1033,45,464.26,9,2021-01-07,Enterprise,UAE,0
1034,45,4170.61,13,2020-07-11,Enterprise,USA,1
1035,58,296.91,80,2021-03-25,Enterprise,Australia,0
1036,39,4776.92,111,2021-09-18,B2B,France,0
1037,25,396.91,113,2021-10-17,Enterprise,Germany,1
1038,43,454.83,23,2024-09-25,B2B,Australia,0
1039,200,100.61,33,2020-09-17,Enterprise,Germany,0
1040,47,462.09,54,2024-04-25,SMB,USA,0
1041,67,1043.7,45,2024-04-12,SMB,France,0
1042,70,547.16,48,2025-04-01,SMB,Canada,0
1043,26,135.22,85,2025-12-07,Enterprise,Japan,0
1044,43,842.71,68,2022-10-26,B2B,Singapore,0
1045,59,681.6,61,2026-03-16,Enterprise,Germany,1
1046,76,718.33,106,2020-02-17,SMB,Canada,0
1047,71,1415.44,52,2021-04-14,SMB,Singapore,0
1048,28,673.4,174,2026-01-08,B2C,France,0
1049,74,790.72,172,2022-12-28,B2C,UAE,0
1050,42,2979.1,177,2023-10-25,B2B,USA,0
1051,51,349.61,165,2021-04-01,B2B,Germany,0
1052,44,1629.55,41,2023-04-17,B2C,Germany,0
1053,68,764.2,150,2024-11-15,B2B,Canada,1
1054,27,375.43,42,2021-10-09,SMB,India,0
1055,32,2728.27,58,2025-02-01,SMB,France,0
1056,67,340.8,52,2020-01-14,B2B,UK,0
