record_id,value,category,created_at
1861,6878.94,B,2025-09-14
354,7241.12,D,2025-08-09
1334,8595.17,A,2025-07-17
906,1836.85,D,2023-04-18
1290,1685.88,A,2023-11-10
1274,7227.98,B,2023-06-15
939,3757.99,D,2023-07-20
1732,3403.35,A,2024-01-28
66,353.59,A,2026-03-05
1324,5770.4,A,2023-07-18
57,9466.72,D,2024-03-13
1293,3838.09,A,2025-09-08
1119,6143.2,A,2026-02-11
585,5162.63,A,2024-08-26
375,689.87,A,2024-07-03
276,5195.55,C,2023-04-23
747,8284.96,D,2023-01-02
129,4504.47,B,2026-02-21
1647,947.85,A,2025-01-21
1853,5410.02,D,2024-07-04
675,8375.37,D,2024-03-15
1665,353.77,B,2026-03-28
1982,5147.52,D,2023-03-15
1084,6341.33,B,2026-06-04
1923,3680.6,B,2023-03-01
100,3477.18,B,2024-10-17
1180,4614.84,A,2025-12-10
965,1480.17,B,2025-12-17
793,2314.29,B,2023-11-02
30,437.79,D,2026-02-19
629,9829.81,A,2026-03-28
945,7084.82,A,2024-06-07
573,8622.08,C,2023-05-10
908,8259.71,A,2023-08-25
1081,8706.45,A,2025-01-26
451,688.24,C,2026-06-17
1610,9484.56,C,2026-06-19
1291,7590.39,C,2024-04-06
1079,5482.08,A,2023-02-28
255,8957.18,B,2024-01-22
125,7104.14,B,2025-11-05
1928,580.46,B,2026-05-24
252,7663.72,C,2025-11-26
586,4903.66,B,2025-04-23
1569,1834.22,C,2025-05-03
825,2534.39,B,2023-10-09
508,3349.24,B,2025-03-08
890,2451.33,B,2026-05-31
71,6820.94,D,2023-05-20
1609,2359.86,D,2023-10-08
1533,9904.51,B,2025-09-19
248,1129.72,D,2025-05-30
1451,2293.02,D,2024-01-29
213,286.13,C,2023-11-30
910,1414.52,B,2023-10-11
1742,6300.39,B,2023-11-01
1245,3472.07,B,2024-03-30
1697,3972.96,A,2024-09-03
1183,9491.35,A,2024-05-30
362,3539.99,B,2025-02-24
1474,7541.87,A,2025-11-16
679,3632.57,A,2024-11-02
1622,6087.97,C,2026-03-02
1090,4206.08,B,2025-03-29
1988,9909.85,B,2024-09-06
1848,2454.98,B,2025-08-11
988,2728.86,B,2024-04-15
1513,3681.98,A,2025-08-03
112,7223.67,D,2025-05-18
1488,6298.56,D,2025-06-26
1454,9783.58,B,2025-10-28
384,5708.95,B,2025-09-04
1396,5263.51,C,2025-08-20
1055,5345.85,C,2025-04-13
756,5440.7,B,2024-09-11
325,6887.38,B,2024-04-07
1624,6342.09,C,2025-01-07
788,7199.18,C,2024-06-23
369,136.84,A,2023-10-22
1820,1809.16,A,2023-03-21
70,275.06,C,2024-06-08
858,2118.2,B,2024-08-17
1484,3868.66,C,2025-07-08
1556,72.02,D,2023-01-30
1692,6940.15,B,2024-11-09
1475,6613.2,A,2026-02-07
1799,2085.99,A,2024-12-22
479,5635.1,C,2024-10-03
282,9805.13,D,2024-10-07
1648,2065.76,D,2025-11-08
1557,9365.08,A,2024-07-27
1730,2502.04,B,2025-01-16
211,3558.33,A,2025-03-24
298,770.51,B,2024-08-23
1885,3669.57,D,2024-05-30
1834,8414.39,A,2025-04-11
652,3569.81,C,2025-11-29
1234,7934.34,B,2025-10-10
1503,1945.33,A,2025-02-04
1932,1478.23,D,2024-09-04
917,4298.47,A,2023-05-02
994,5352.61,D,2024-07-22
430,6264.12,D,2023-02-20
1371,7244.28,D,2025-09-24
240,2810.75,B,2024-03-31
880,562.81,D,2024-06-30
621,3298.91,B,2025-01-06
257,6226.49,B,2024-11-27
612,5191.7,D,2024-08-27
545,3260.5,B,2024-04-07
772,2421.56,A,2023-06-22
1420,6214.78,D,2023-09-28
1042,8845.66,B,2023-10-01
1790,4886.81,B,2024-07-07
760,3845.39,C,2023-05-10
383,7136.83,C,2025-03-05
1104,2608.1,A,2024-01-31
974,9416.23,C,2024-10-09
353,8484.94,B,2025-07-01
1606,2645.3,B,2026-06-04
1826,7479.28,D,2026-01-02
1037,109.84,A,2025-03-30
1108,7814.38,C,2026-02-08
495,8832.45,B,2024-06-24
394,7897.99,B,2025-01-22
1547,8406.55,A,2023-05-18
